name,direction,width,vhdl_type,labview_type,interpretation,clock_domain,meaning,case_value_or_expected,valid_when,reset_or_idle
clk125,input,1,std_logic,Boolean/Clock,Clock,Clock,外部连续时钟 125 MHz,125 MHz,复位前稳定并持续运行,不得使用布尔软件翻转代替时钟
clk150,input,1,std_logic,Boolean/Clock,Clock,Clock,外部连续时钟 150 MHz,150 MHz,复位前稳定并持续运行,不得使用布尔软件翻转代替时钟
clk500,input,1,std_logic,Boolean/Clock,Clock,Clock,外部连续时钟 500 MHz,500 MHz,复位前稳定并持续运行,不得使用布尔软件翻转代替时钟
reset_request,input,1,std_logic,Boolean/Clock,Boolean,异步请求→各域内部同步释放,高有效总复位,1,稳定时钟后保持高；释放后等各域就绪,开机/异常恢复=1；运行=0
abort125,input,1,std_logic,Boolean/Clock,Boolean,125 MHz,取消，触发粘滞故障,0,125 MHz同步；停止后必须总复位恢复,正常=0
s_valid,input,1,std_logic,Boolean/Clock,Boolean,125 MHz,原始数据有效,0,与ready同拍为1时接收；被阻塞时保持有效及全部字段,复位/空闲=0
s_ready,output,1,std_logic,Boolean/Clock,Boolean,125 MHz,原始数据可接收,由核心产生,与valid同拍解释,复位期间0；不能固定为1
frame_valid,input,1,std_logic,Boolean/Clock,Boolean,125 MHz,帧描述符有效,0,与ready同拍为1时接收；被阻塞时保持有效及全部字段,复位/空闲=0
frame_ready,output,1,std_logic,Boolean/Clock,Boolean,125 MHz,帧描述符可接收,由核心产生,与valid同拍解释,复位期间0；不能固定为1
cfo_valid,input,1,std_logic,Boolean/Clock,Boolean,125 MHz,粗CFO记录有效,0,与ready同拍为1时接收；被阻塞时保持有效及全部字段,复位/空闲=0
cfo_ready,output,1,std_logic,Boolean/Clock,Boolean,125 MHz,粗CFO记录可接收,由核心产生,与valid同拍解释,复位期间0；不能固定为1
fine_valid,input,1,std_logic,Boolean/Clock,Boolean,125 MHz,精定时记录有效,0,与ready同拍为1时接收；被阻塞时保持有效及全部字段,复位/空闲=0
fine_ready,output,1,std_logic,Boolean/Clock,Boolean,125 MHz,精定时记录可接收,由核心产生,与valid同拍解释,复位期间0；不能固定为1
s_iq0,input,32,std_logic_vector(31 downto 0),U32,U32容器；两个I16 Q1.15,125 MHz,第4b+0个复数点，Q在高16位I在低16位,raw_input_u32le.bin,s_valid && s_ready,valid=0时可置0
s_iq1,input,32,std_logic_vector(31 downto 0),U32,U32容器；两个I16 Q1.15,125 MHz,第4b+1个复数点，Q在高16位I在低16位,raw_input_u32le.bin,s_valid && s_ready,valid=0时可置0
